Id,Archivo,Auditorio,Biblioteca,Centro_cultural,Centro_de_interpretacion,Centro_docente,Cine,Galeria_de_arte,Museo,Sala_de_conciertos,Sala_de_exposiciones,Sala_polivalente,Teatro,Idmuni,Denominacion,Direccion,Codpos,Telefono,Fax,Mail,Web,Horario,Instalaciones,Aforo,Idtitular,Facebook,Youtube,Tweeter,Imag01,Imag02,Usuario,Fechor,lat,lng,usoprincipal
12,s,n,n,n,n,n,n,n,n,n,n,n,n,2,Archivo Administrativo de la Universidad de Las Palmas de Gran Canaria,Edificio de Ciencias Básicas. Campus Universitario de Tafira,35017, ,,,http://biblioteca.ulpgc.es/conocenos_archivo?device=mobile,,,0,228,,,,gcbiblioulpgcext.jpg,gcbiblioulpgcint.jpg,nieduq,2015-07-24 14:15:15,28.0736408861335,-15.4521524584150,archivo
13,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo Central de Presidencia del Gobierno de Canarias,"Avda. José Manuel Guimerá, 5",38071,922 477 524,922 476 131,archivopresidencia@gobiernodecanarias.org,http://www.gobiernodecanarias.org/cpj/igs/temas/archivos/archivos/datos.html,,,0,173,,,,tfpresidenciagocan.jpg,blanco.jpg,nieduq,2015-10-27 19:23:38,28.4615367498072,-16.2503162933611,archivo
14,s,n,n,n,n,n,n,n,n,n,n,n,n,21,Archivo de la parroquia de San Miguel Arcángel de Valsequillo,"c/ Jacinto Suárez Martel, 1",35217,928 705 185,,parroquiavalseq@mixmail.com,http://www.diocesisdecanarias.es,,,0,150,,,,gcparroquiavalsequillo.jpg,blanco.jpg,eliizq,2016-03-10 14:24:07,27.9909278398796,-15.4987895841846,archivo
15,s,n,n,n,n,n,n,n,n,n,n,n,n,10,Archivo de  la parroquia de  San Nicolás de  Tolentino de  Aldea de  San Nicolás,"c/ General Franco, 33",35470,928 890 310,, ,http://www.diocesisdecanarias.es,,,0,150,,,,gcparroquialaaldea.jpg,blanco.jpg,nieduq,2015-07-24 14:17:33,27.9856701290273,-15.7819615559982,archivo
16,s,n,n,n,n,n,n,n,n,n,n,n,n,2,Archivo de El Museo Canario,"c/ Dr. Verneau, 2",35001,928 336 800,928 336 801,info@elmuseocanario.com,http://www.elmuseocanario.com,"Biblioteca, Hemeroteca y Archivo:Lunes a viernes de 10:00 a 20:00 h. Julio, agosto y septiembre de lunes a viernes de 10:00 a 19:30 h.","El núcleo primigenio de esta sección del Centro de Documentación está constituido por los documentos ?originales y copias manuscritas? legados a la institución por Gregorio Chil y Naranjo y Agustín Millares Torres, cofundadores de El Museo Canario. A esta",0,152,https://www.facebook.com/pages/El-Museo-Canario/374389418712?fref=ts,,https://twitter.com/elmuseocanario,gcelmuseocanarioext.jpg,gcelmuseocanarioint.jpg,nieduq,2016-02-29 13:26:48,28.0997736292004,-15.4152295269138,archivo
17,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Abogacía del Estado de Santa Cruz de Tenerife,"Méndez Núñez, 9. 1º",38003,922 608 300,922 282 669,aetenerife@dsje.mju.es,,,,0,199,,,,tfsubdelegaciongob.jpg,blanco.jpg,eliizq,2015-10-15 14:13:00,28.4695361283714,-16.2548334527193,archivo
18,s,n,n,n,n,n,n,n,n,n,n,n,n,36,Archivo de la Administración de la Agencia Tributaria de La Laguna,Padre Herrera s/n,38207,922 261 512,922 265 922,  ,http://www.agenciatributaria.es,,,0,6,,,,tfhaciendall.jpg,blanco.jpg,eliizq,2015-10-15 14:13:30,28.4852282339324,-16.3131936334184,archivo
19,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Agencia Estatal de la Administración Tributaria de Santa Cruz de Tenerife,"Avda. Marítima, 6",38071,922 842 000,922 293 446, ,http://www.agenciatributaria.es,,,0,6,,,,tfhaciendasctf.jpg,blanco.jpg,eliizq,2015-10-15 14:13:46,28.4633671235213,-16.2483769517903,archivo
20,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Audiencia de Cuentas de Canarias,"Suárez Guerra, 18",38003,922 280 066,922 279 040,institucional@acuentascanarias.org,http://www.acuentascanarias.org/,,,0,15,,,,tfaudienciacuentas.jpg,blanco.jpg,eliizq,2015-10-15 14:14:04,28.4679627025616,-16.2528641060762,archivo
21,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Autoridad Portuaria de Santa Cruz de Tenerife,"Avda. Francisco La Roche, nº 49",38001,922 605 400,922 605 473,archivo@puertosdetenerife.org,http://www.puertosdetenerife.org,,,0,16,,,,tfautoridadportuaria.jpg,blanco.jpg,eliizq,2015-10-15 14:14:22,28.4778026981559,-16.2448318717043,archivo
22,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Capitanía Marítima de Santa Cruz de Tenerife,"Avda. Francisco La Roche, s/n",38001,922 596 223,922 596 225,  ,http://goo.gl/KDDgws,,,0,193,,,,tfcapitaniamaritima.jpg,blanco.jpg,eliizq,2015-10-15 14:14:36,28.4820877918382,-16.2397010131485,archivo
23,s,n,s,n,n,n,n,n,s,n,s,s,n,2,Archivo de la Casa de Colón,c/ Colón nº 1,35001,928 312 384 / 928 312 373 / 928 312 386,928 331 156,casacolon@grancanariacultura.com,http://www.casadecolon.com,"Lunes, miércoles y viernes, de 09.00 a 15.00 horas.Martes y jueves, de 9.00 a 18.00 horas.",,0,141,http://www.facebook.com/casadecolon,http://www.youtube.com/user/CasadeColon,https://twitter.com/casadecolon,gccasacolonext.jpg,blanco.jpg,nieduq,2015-07-24 14:20:02,28.1012002796568,-15.4141805282920,archivo
24,s,n,n,n,n,n,n,n,n,n,n,n,n,2,Archivo de la Catedral de Canarias,"Plaza de Santa Ana, s/n",35001,928 364 859,, ,http://www.diocesisdecanarias.es,,,0,150,,,,gccatedral.jpg,blanco.jpg,nieduq,2015-07-27 09:24:11,28.1007489591918,-15.4149829994418,archivo
25,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Delegación Provincial de Agricultura de Santa Cruz de Tenerife,"La Marina, 20. 4ª planta",38001,922 280 250,922 282 168,daptenerife@one.sctenerife.map.es,http://www.map.es,,,0,191,,,,tfmarina20.jpg,blanco.jpg,eliizq,2015-10-15 14:17:46,28.4723128942568,-16.2473762922572,archivo
26,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Delegación Provincial del Instituto Nacional de Estadística de Santa Cruz de Tenerife,"Suárez Guerra, 55",38002,922 531 750,922 292 551,rmiranda@ine.es,http://www.ine.es,,,0,179,,,,tfine.jpg,blanco.jpg,eliizq,2015-10-15 14:17:26,28.4687125388964,-16.2517174638740,archivo
27,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Demarcación de Costas de Santa Cruz de Tenerife,"Avda. de Anaga, 35, 11º",38001,922 272 308,922 272 983, ,,,,0,1,,,,tfsanidad.jpg,blanco.jpg,eliizq,2015-11-27 14:02:20,28.4735166149045,-16.2471085684259,archivo
28,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Dependencia de Sanidad de Santa Cruz de Tenerife,"Rambla de Santa Cruz, nº 169",38001,922 999 214,922 241 456,aherrera@sanidad.sctenerife.map.es,http://www.map.es,,,0,200,,,,tfsanidad.jpg,blanco.jpg,eliizq,2015-10-15 14:18:09,28.4772295542231,-16.2453739005730,archivo
29,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Dependencia de Trabajo de Santa Cruz de Tenerife,"La Marina, nº 20. 2ª planta",38001,922 284 350,922 246 239,  ,http://www.map.es,,,0,195,,,,tfmarina20.jpg,blanco.jpg,eliizq,2015-10-15 14:18:41,28.4722657774872,-16.2473963713540,archivo
30,s,n,n,n,n,n,n,n,n,n,n,n,n,86,Archivo de la Dirección Insular de la Administración General del Estado en El Hierro,"Avda. Dacio Darias, nº 103",38900,922 998 000,922 550 150, ,http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=52006,,,0,4,,,,ehadmongralestado.jpg,blanco.jpg,karinag,2015-11-18 12:21:18,27.8125095798963,-17.9155272316327,archivo
31,s,n,n,n,n,n,n,n,n,n,n,n,n,80,Archivo de la Dirección Insular de la Administración General del Estado en la isla de La Gomera,"Plaza de las Américas, nº 2",38800,922 999 360,922 141 356,,http://www.map.es,,,0,129,,,,gmadmongralestado.jpg,blanco.jpg,karinag,2015-11-18 12:21:41,28.0901643136370,-17.1095531405373,archivo
32,s,n,n,n,n,n,n,n,n,n,n,n,n,66,Archivo de la Dirección Insular de la Administración General del Estado en la isla de La Palma,"Avda. Marítima, 2",38700,922 993 003,922 416 443,jr@lapalma.map.es,http://www.map.es,,,0,154,,,,lpadmongralestado.jpg,blanco.jpg,eliizq,2015-10-15 14:20:06,28.6813190289056,-17.7657240562006,archivo
33,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Dirección Provincial del Instituto Nacional de la Seguridad Social (INSS) de Santa Cruz de Tenerife,"Avda. José Manuel Guimerá, 8",38003,922 601 300,922 601 303,fernando.serra@inss.seg-social.es,http://www.seg-social.es,,,0,195,,,,tfinss.jpg,blanco.jpg,eliizq,2015-10-15 14:20:21,28.4614466388942,-16.2508065046833,archivo
34,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Dirección Provincial del Instituto Social de la Marina de Santa Cruz de Tenerife,Avda. de Anaga s/n,38001,922 590 231 / 922 598 900,922 597 503,,http://www.seg-social.es,,,0,154,,,,tfcasadelmar.jpg,blanco.jpg,eliizq,2015-10-15 14:20:40,28.4818469408848,-16.2405932950785,archivo
35,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Dirección Territorial de Comercio. Santa Cruz de Tenerife,"General Gutiérrez, 1",38003,922 534 010,, tenerife@comercio.mineco.es,http://goo.gl/zms6El,,,0,194,,,,tfdircomercio.jpg,blanco.jpg,marieli,2016-03-08 12:46:58,28.4680273913525,-16.2510430434937,archivo
36,s,n,n,n,n,n,n,n,n,n,n,n,n,9,"Archivo de la Fundación ""Diputado Juan Morales Martín""","Avenida de América, nº 120, 1º C",35250,928 782 594,928 306 419, ,,,,0,164,,,,gcfundjuanmorales.jpg,blanco.jpg,nieduq,2015-07-27 09:27:29,27.9179130708879,-15.4367915172233,archivo
37,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Gerencia Territorial de Justicia de Santa Cruz de Tenerife,"San Antonio, 24",38003,922 291 689,922 291 664, ,  ,,,0,199,,,,tfgerenciajusticia.jpg,blanco.jpg,eliizq,2015-10-15 14:21:08,28.4728033274779,-16.2508658146985,archivo
38,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Gerencia Territorial del Catastro de Santa Cruz de Tenerife,"Prolongación de Ramón y Cajal, 3",38003,922 533 990,922 283 314, gerencia.territorial@tenerife.catastro.minhac.es, ,,,0,197,,,,tfarchcatastro.jpg,blanco.jpg,nieduq,2015-12-07 14:52:05,28.4657133160243,-16.2540965262716,archivo
39,s,n,n,n,n,n,n,n,n,n,n,n,n,9,Archivo de la Heredad Acequia Real de Aguatona,"Plaza de Candelaria, 14",35250,928 785 393,928 787 821,heredadacequi@hotmail.com,http://heredaddeingenio.com/,"Lunes, miércoles y viernes, de 9:00 a 13:00 y de 16:00 a 20:00, martes y jueves de 8:00 a 13:00 y de 16:00 a 19:00.",,0,174,,,,gcheredadaguatona.jpg,blanco.jpg,nieduq,2015-08-13 13:33:21,27.9196473240764,-15.4437035747763,archivo
40,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Inspección de Trabajo y Seguridad Social de Santa Cruz de Tenerife,"La Marina, nº 20. 3ª planta",38001,922 605 331,922 289 173,,http://www.empleo.gob.es/,,,0,196,,,,tfmarina20.jpg,blanco.jpg,eliizq,2015-10-15 14:21:31,28.4722657774872,-16.2473963713540,archivo
41,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Jefatura Provincial de Inspección de Telecomunicaciones de Santa Cruz de Tenerife,"Avda. La Marina, 20, 5º",28001,922 244 625,922 151 354,jptenerife@minetur.es,http://www.minetur.gob.es/,,,0,198,,,,tfmarina20.jpg,blanco.jpg,eliizq,2015-10-15 14:21:52,28.4722657774872,-16.2473963713540,archivo
42,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Jefatura Provincial de la Sociedad Estatal de Correos y Telégrafos de Santa Cruz de Tenerife,"Plza. de España, nº 2",38003,922 533 629 / 922 533 557,922 244 035,antoniosantoro@correo.es,http://www.correo.es,,,0,219,,,,tfcorreos.jpg,blanco.jpg,eliizq,2015-10-15 14:22:11,28.4663808533471,-16.2476416529007,archivo
43,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Jefatura Provincial de Tráfico de Santa Cruz de Tenerife,"Heliodoro Rodríguez López, nº 34",38005,922 227 840,922 231 712,buzónjptf@dgtráfico.org,http://www.mir.es,,,0,201,,,,tfjefaturatrafico.jpg,blanco.jpg,eliizq,2015-10-15 14:22:28,28.4605466092577,-16.2628631404281,archivo
44,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Oficina de Extranjeros de Santa Cruz de Tenerife,La Marina 20 - 2º,38001,922 290 501,922 283 248,,http://goo.gl/yMCMi6,,,0,197,,,,tfmarina20.jpg,blanco.jpg,eliizq,2015-10-15 14:22:54,28.4722909995776,-16.2474025838003,archivo
45,s,n,n,n,n,n,n,n,n,n,n,n,n,36,Archivo de la Parroquia de Cristo Salvador de La Matanza,"Anchieta, 23",38201,922 631 149,922 266 032,ahdscll@terra.es,http://www.obispadodetenerife.com,,,0,202,,,,tfigsalvadormatanza.jpg,blanco.jpg,eliizq,2015-10-15 14:23:12,28.4905877297474,-16.3157257103694,archivo
46,s,n,n,n,n,n,n,n,n,n,n,n,n,52,Archivo de la parroquia de El Dulce Nombre de Jesús,"c/ Juan Luis Reyes, 2",38440,922 828 030,, ,http://www.obispadodetenerife.com,,,0,202,,,,tfigdulcenombrejesusguacha.jpg,blanco.jpg,eliizq,2015-10-15 14:23:33,28.3736405821191,-16.6515046621842,archivo
47,s,n,n,n,n,n,n,n,n,n,n,n,n,36,Archivo de la Parroquia de El Salvador de Alajeró,"Anchieta, 23",38201,922 631 149,922 266 032,ahdscll@terra.es,http://www.obispadodetenerife.com,,,0,202,,,,gmigsalvadoralajero.jpg,blanco.jpg,eliizq,2015-10-15 14:23:51,28.4905877297474,-16.3157257103694,archivo
48,s,n,n,n,n,n,n,n,n,n,n,n,n,2,Archivo de la Parroquia de la Inmaculada Concepción de Las Palmas de Gran Canaria,Plaza de Tafira Alta 9,35017,928 430 449,,  ,http://www.diocesisdecanarias.es/,Martes-Jueves 17:00 a 18:30 ,,0,150,,,,gcparroquiainmaculada.jpg,blanco.jpg,nieduq,2015-07-27 09:28:22,28.0578267366060,-15.4611665549078,archivo
49,s,n,n,n,n,n,n,n,n,n,n,n,n,85,Archivo de la Parroquia de Nuestra Señora de Candelaria de Chipude,"Plaza de la Iglesia, s/n",38840,921 804 180,,jdgacosta@hotmail.com,http://www.obispadodetenerife.com,,,0,202,,,,gmigcandelariachipude.jpg,blanco.jpg,karinag,2015-11-18 12:22:26,28.1098100995715,-17.2823099774128,archivo
50,s,n,n,n,n,n,n,n,n,n,n,n,n,27,Archivo de la Parroquia de Nuestra Señora de Candelaria de Tías,"Ctra. General, s/n",35572,928 833 041 / 928 834 395 ,928 834 395,,http://www.diocesisdecanarias.es,,,0,150,,,,lzigntrasracanadelariatias.jpg,blanco.jpg,eliizq,2015-10-15 14:24:34,28.9555705977598,-13.6545038012218,archivo
51,s,n,n,n,n,n,n,n,n,n,n,n,n,26,Archivo de la Parroquia de Nuestra Señora de Guadalupe de Teguise,"Pza. San Francisco, 6",35530,928 845 085,, ,http://www.diocesisdecanarias.es,,,0,150,,,,lzigntrasraguadalupeteg.jpg,blanco.jpg,eliizq,2015-10-15 14:24:54,29.0582222166816,-13.5591727369946,archivo
52,s,n,n,n,n,n,n,n,n,n,n,n,n,36,Archivo de la Parroquia de Nuestra Señora de la Asunción de San Sebastián de La Gomera,"Anchieta, 23",38201,922 631 149,922 266 032,ahdscll@terra.es,http://www.obispadodetenerife.com,,,0,202,,,,gmigasuncion.jpg,blanco.jpg,eliizq,2015-10-15 14:25:42,28.4905877297474,-16.3157257103694,archivo
53,s,n,n,n,n,n,n,n,n,n,n,n,n,87,Archivo de la parroquia de Nuestra Señora de la Candelaria. Frontera,"Plaza de la Candelaria, 3",38911,922 559 003,, pedrocurafrontera@mixmail.com,http://www.obispadodetenerife.com,,,0,150,,,,ehigcandelariafrontera.jpg,blanco.jpg,marieli,2016-03-08 12:47:55,27.7554826497205,-18.0017139683888,archivo
54,s,n,n,n,n,n,n,n,n,n,n,n,n,9,Archivo de la parroquia de Nuestra Señora de la Candelaria de Ingenio,Hermanos Fullana 5,35250,928 780 173,, ,http://www.diocesisdecanarias.es/,,,0,150,,,,gcpquiacandelariaingenio.jpg,blanco.jpg,marieli,2016-03-08 12:48:23,27.9198150144146,-15.4441007000949,archivo
55,s,n,n,n,n,n,n,n,n,n,n,n,n,33,Archivo de la Parroquia de Nuestra Señora de la Candelaria de La Oliva,Casa Parroquial,35640,928 868 004,928 868 004,parroquiaoliva@navegalia.com,http://www.diocesisdecanarias.es,De lunes a viernes de 8.00 a 14.30 horas. Sábados de 8.00 a 12.00 horas.,,0,150,,,,ftigcandelariaoliva.jpg,blanco.jpg,karinag,2015-11-17 14:57:28,28.6111346803819,-13.9279792075915,archivo
56,s,n,n,n,n,n,n,n,n,n,n,n,n,12,Archivo de la parroquia de Nuestra Señora de la Candelaria de Moya,Padre Juanito 9,35420,928 620 007,, ,http://www.diocesisdecanarias.es,,,0,150,,,,gcparroquiacandelariamoya.jpg,blanco.jpg,nieduq,2015-07-27 09:56:28,28.1108378525061,-15.5840379374648,archivo
57,s,n,n,n,n,n,n,n,n,n,n,n,n,78,Archivo de la parroquia de Nuestra Señora de la Candelaria de Tijarafe,Plaza Nuestra Señora de Candelaria S/N,38780,922 490 004 / 922 493 078,922 493 078, ,http://www.obispadodetenerife.com,,,0,202,,,,lpigcandelariatijarafe.jpg,blanco.jpg,eliizq,2015-10-15 14:26:35,28.7111473943934,-17.9553018813625,archivo
58,s,n,n,n,n,n,n,n,n,n,n,n,n,54,Archivo de la parroquia de Nuestra Señora de la Concepción de La Orotava,"La Iglesia, s/n",38300,922 326 464,922 324 464,,http://www.obispadodetenerife.com,,,0,202,,,,tfigconcepcionorotava.jpg,blanco.jpg,marieli,2016-03-08 12:51:51,28.3900437023328,-16.5254544882152,archivo
59,s,n,n,n,n,n,n,n,n,n,n,n,n,71,Archivo de la Parroquia de Nuestra Señora de la Concepción de Bonanza de El Paso,C/ Coromoto 2,38750,922 485 377 / 922 486 018,922 485 377,domguerra@yahoo.es,http://www.obispadodetenerife.com,,,0,202,,,,lpigconcepcionbonanza.jpg,blanco.jpg,eliizq,2015-10-15 14:27:26,28.6457080968338,-17.7665850486065,archivo
60,s,n,n,n,n,n,n,n,n,n,n,n,n,36,Archivo de la Parroquia de Nuestra Señora de la Concepción de El Realejo Bajo,"Anchieta, 23",38201,922 631 149,922 266 032,ahdscll@terra.es,http://www.obispadodetenerife.com,,,0,202,,,,tfigconcepcionrealejos.jpg,blanco.jpg,eliizq,2015-10-15 14:27:54,28.4905877297474,-16.3157257103694,archivo
61,s,n,n,n,n,n,n,n,n,n,n,n,n,36,Archivo de la Parroquia de Nuestra Señora de la Concepción de San Cristóbal de La Laguna,"Anchieta, 23",38201,922 631 149,922 266 032,ahdscll@terra.es,http://www.obispadodetenerife.com,,,0,202,,,,tfigconcepcionll.jpg,blanco.jpg,eliizq,2015-10-15 14:28:37,28.4905877297474,-16.3157257103694,archivo
62,s,n,n,n,n,n,n,n,n,n,n,n,n,3,Archivo de la Parroquia de Nuestra Señora de la Concepción de Santa Cruz de Tenerife,"Plza. de la Iglesia, s/n",38080,922 243 847 / 922 242 384,922 243 847, ,,,,0,9,,,,tfigconcepcionstacruz.jpg,blanco.jpg,eliizq,2015-10-15 13:17:17,28.4645118860620,-16.2488609031432,archivo
63,s,n,n,n,n,n,n,n,n,n,n,n,n,86,Archivo de la parroquia de Nuestra Señora de la Concepción de Valverde,"C/ General Rodríguez Sánchez, s/n",38900,922 550 127,,dmgruiz@terra.es,http://www.obispadodetenerife.com,,,0,202,,,,ehigconcepcionvalverde.jpg,blanco.jpg,eliizq,2016-03-10 14:26:26,27.8075743174344,-17.9141545609931,archivo
64,s,n,n,n,n,n,n,n,n,n,n,n,n,24,Archivo de la parroquia de Nuestra Señora de la Encarnación de Haría,"c/ Fajardo, 1",35520,928 835 011,,parroquiaharia@yahoo.es,http://www.diocesisdecanarias.es,,,0,150,,,,lzigencarnacionharia.jpg,blanco.jpg,eliizq,2015-10-15 14:29:54,29.1468079793371,-13.4982490992544,archivo
65,s,n,n,n,n,n,n,n,n,n,n,n,n,36,Archivo de la Parroquia de Nuestra Señora de la Encarnación de Hermigua,"Anchieta, 23",38201,922 631 149,922 266 032,ahdscll@terra.es,http://www.obispadodetenerife.com,,,0,202,,,,gmigencarnacionhermigua.jpg,blanco.jpg,eliizq,2015-10-15 14:30:38,28.4905877297474,-16.3157257103694,archivo
66,s,n,n,n,n,n,n,n,n,n,n,n,n,36,Archivo de la Parroquia de Nuestra Señora de la Encarnación de La Victoria,"Anchieta, 23",38201,922 580 052 / 922 631 149,922 266 032,aivlis8_1@hotmail.com,http://www.obispadodetenerife.com,,,0,202,,,,tfiglavictoria.jpg,blanco.jpg,eliizq,2015-10-15 14:53:41,28.4905877297474,-16.3157257103694,archivo
67,s,n,n,n,n,n,n,n,n,n,n,n,n,73,Archivo de la Parroquia de Nuestra Señora de la Luz de Garafía,Carretera General S/N,38787,922 400 054,, ,http://www.obispadodetenerife.com,,,0,202,,,,lpiglaluzgarafia.jpg,blanco.jpg,eliizq,2015-10-15 14:54:48,28.8307504924165,-17.9448374222810,archivo
68,s,n,n,n,n,n,n,n,n,n,n,n,n,36,Archivo de la Parroquia de Nuestra Señora de la Luz de Guía de Isora,"Anchieta, 23",38201,922 631 149,922 266 032,ahdscll@terra.es,http://www.obispadodetenerife.com,,,0,202,,,,tfiglaluzguiaisora.jpg,blanco.jpg,eliizq,2015-10-15 14:55:34,28.4905877297474,-16.3157257103694,archivo
69,s,n,n,n,n,n,n,n,n,n,n,n,n,2,Archivo de la parroquia de Nuestra Señora de La Luz de Las Palmas de Gran Canaria,c/ Pérez Muñoz 16,35009,928 462 126,,,http://www.diocesisdecanarias.es/,,,0,150,,,,gcparroquialaluz.jpg,blanco.jpg,nieduq,2015-07-27 10:23:53,28.1487505768142,-15.4265780430102,archivo
